,id,symbol,name
726,blockchaininvestplatform,bip,BlockchainInvestPlatform
727,bip,bip,Minter
728,birake,bir,Birake
729,birdchain,bird,Birdchain
730,bismuth,bis,Bismuth
731,bitrewards-token,bit,BitRewards Token
732,first-bitcoin,bit,First Bitcoin
733,bitmoney,bit,BitMoney
734,bean-cash,bitb,Bean Cash
735,bitcoin-bull,bitb,Bitcoin Bull
736,bitbtc,bitbtc,bitBTC
737,bitcash,bitc,BitCash
738,bit-token-economy,bitc,Bit Token Economy
739,bitcar,bitcar,BitCar
740,first-bitcoin-capital,bitcf,First Bitcoin Capital
741,bitCNY,bitcny,bitCNY
742,bitethereum,bite,BitEthereum
